iter	Passed	Remaining
1384	3662	9560
1385	3665	9557
1386	3668	9555
1387	3671	9553
1388	3673	9550
1389	3675	9546
1390	3678	9543
1391	3680	9539
1392	3683	9536
1393	3685	9534
1394	3688	9530
1395	3690	9527
1396	3692	9523
1397	3695	9520
1398	3697	9518
1399	3700	9515
1400	3703	9513
1401	3705	9510
1402	3708	9506
1403	3710	9503
1404	3712	9499
1405	3715	9496
1406	3717	9494
1407	3720	9491
1408	3723	9488
1409	3725	9485
1410	3727	9482
1411	3730	9478
1412	3732	9475
1413	3735	9473
1414	3737	9470
1415	3740	9467
1416	3743	9464
1417	3745	9461
1418	3748	9458
1419	3750	9456
1420	3753	9454
1421	3756	9451
1422	3758	9448
1423	3761	9445
1424	3763	9441
1425	3766	9438
1426	3768	9436
1427	3771	9433
1428	3773	9430
1429	3776	9426
1430	3778	9423
1431	3780	9420
1432	3783	9417
1433	3785	9414
1434	3788	9411
1435	3790	9408
1436	3793	9404
1437	3795	9402
1438	3797	9398
1439	3800	9396
1440	3803	9393
1441	3805	9390
1442	3808	9386
1443	3810	9383
1444	3812	9380
1445	3815	9377
1446	3818	9375
1447	3820	9371
1448	3822	9368
1449	3825	9365
1450	3827	9362
1451	3829	9358
1452	3832	9356
1453	3835	9353
1454	3837	9350
1455	3840	9347
1456	3842	9344
1457	3845	9341
1458	3848	9340
1459	3852	9340
1460	3854	9337
1461	3857	9334
1462	3859	9331
1463	3862	9328
1464	3865	9326
1465	3868	9324
1466	3870	9321
1467	3873	9318
1468	3875	9315
1469	3878	9312
1470	3880	9310
1471	3883	9307
1472	3885	9304
1473	3888	9300
1474	3890	9297
1475	3893	9294
1476	3895	9291
1477	3898	9289
1478	3900	9286
1479	3903	9283
1480	3905	9279
1481	3908	9276
1482	3910	9273
1483	3913	9271
1484	3915	9268
1485	3918	9265
1486	3920	9261
1487	3922	9258
1488	3925	9255
1489	3927	9252
1490	3930	9250
1491	3933	9247
1492	3935	9244
1493	3938	9241
1494	3940	9238
1495	3942	9235
1496	3945	9233
1497	3948	9230
1498	3950	9227
1499	3953	9224
1500	3955	9221
1501	3958	9218
1502	3960	9215
1503	3963	9212
1504	3966	9210
1505	3968	9207
1506	3971	9204
1507	3973	9201
1508	3976	9198
1509	3978	9196
1510	3981	9193
1511	3984	9190
1512	3986	9187
1513	3988	9184
1514	3991	9181
1515	3993	9178
1516	3996	9175
1517	3998	9172
1518	4001	9168
1519	4003	9165
1520	4005	9162
1521	4008	9159
1522	4010	9156
1523	4013	9154
1524	4016	9151
1525	4018	9148
1526	4020	9145
1527	4023	9142
1528	4027	9143
1529	4030	9140
1530	4032	9137
1531	4034	9133
1532	4037	9130
1533	4039	9127
1534	4042	9124
1535	4045	9122
1536	4047	9119
1537	4049	9116
1538	4052	9112
1539	4054	9109
1540	4057	9106
1541	4060	9105
1542	4062	9102
1543	4065	9099
1544	4067	9096
1545	4070	9093
1546	4072	9090
1547	4075	9087
1548	4077	9084
1549	4080	9082
1550	4082	9079
1551	4085	9076
1552	4087	9073
1553	4090	9070
1554	4093	9068
1555	4095	9065
1556	4097	9061
1557	4100	9058
1558	4102	9055
1559	4105	9052
1560	4108	9050
1561	4110	9047
1562	4113	9044
1563	4115	9041
1564	4118	9038
1565	4120	9035
1566	4123	9032
1567	4125	9030
1568	4128	9027
1569	4130	9024
1570	4132	9021
1571	4135	9018
1572	4137	9014
1573	4140	9012
1574	4143	9010
1575	4145	9006
1576	4148	9004
1577	4150	9000
1578	4152	8997
1579	4155	8994
1580	4158	8992
1581	4160	8989
1582	4163	8986
1583	4165	8983
1584	4168	8980
1585	4170	8977
1586	4173	8976
1587	4176	8973
1588	4179	8971
1589	4181	8968
1590	4184	8965
1591	4186	8961
1592	4189	8960
1593	4192	8957
1594	4195	8956
1595	4197	8953
